titulo_noticia;time_mais_citado;qtd_citacoes_time_mais_citado;qtd_total_palavras;qtd_times_citados;link
dornelas espera que torcida repita festa nas arquibancadas na primeira partida da decisao da lbf 201415;Sport/Uninassau/Inst. Todos;5;413;1;https://lbf.com.br/noticias/dornelas-espera-que-torcida-repita-festa-nas-arquibancadas-na-primeira-partida-da-decisao-da-lbf-201415/
vanessa sassa goncalves ministra aula aberta de basquete em escola de sao paulo;Sport/Uninassau/Inst. Todos;7;360;3;https://lbf.com.br/noticias/vanessa-sassa-goncalves-ministra-aula-aberta-de-basquete-em-escola-de-sao-paulo/
estreia com vitoria check;Nenhum time identificado;0;396;0;https://lbf.com.br/noticias/estreia-com-vitoria-check/
impecavel;Santo André;26;695;3;https://lbf.com.br/noticias/impecavel/
ca juventus realiza processo seletivo para o sub 13 feminino;Sport/Uninassau/Inst. Todos;1;170;1;https://lbf.com.br/noticias/ca-juventus-realiza-processo-seletivo-para-o-sub-13-feminino/
chance de fechar;Sampaio Basquete;14;946;2;https://lbf.com.br/noticias/chance-de-fechar/
ultimos ajustes;Santo André;4;478;3;https://lbf.com.br/noticias/ultimos-ajustes/
campeas se reabilitam;SESI Araraquara Basquete;12;490;3;https://lbf.com.br/noticias/campeas-se-reabilitam/
uma passadinha pela base 15;Sport/Uninassau/Inst. Todos;1;228;1;https://lbf.com.br/noticias/uma-passadinha-pela-base-15/
vera cruz campinas anuncia primeiras renovacoes;Unimed Campinas Basquete;2;306;1;https://lbf.com.br/noticias/vera-cruz-campinas-anuncia-primeiras-renovacoes/
segue vivo;Sampaio Basquete;21;849;2;https://lbf.com.br/noticias/segue-vivo/
olho nela nadia;Sampaio Basquete;6;1012;4;https://lbf.com.br/noticias/olho-nela-nadia/
natalia burian a lider em assistencias na liga de basquete feminino lbf 201415;Sport/Uninassau/Inst. Todos;5;424;1;https://lbf.com.br/noticias/natalia-burian-a-lider-em-assistencias-na-liga-de-basquete-feminino-lbf-201415/
peneira em sao jose;Pontz São José Basketball;8;336;2;https://lbf.com.br/noticias/peneira-em-sao-jose/
rapida recuperacao;Sport/Uninassau/Inst. Todos;2;565;1;https://lbf.com.br/noticias/rapida-recuperacao/
uma passadinha pela base 14;Sport/Uninassau/Inst. Todos;1;311;1;https://lbf.com.br/noticias/uma-passadinha-pela-base-14/
lbf nas escolas semana 4;Unimed Campinas Basquete;22;715;2;https://lbf.com.br/noticias/lbf-nas-escolas-semana-4/
escolinha da adrianinha;Sport/Uninassau/Inst. Todos;5;327;1;https://lbf.com.br/noticias/escolinha-da-adrianinha/
santo andre e sao jose vencem neste sabado pela quarta semana da lbf 201415;Santo André;16;694;3;https://lbf.com.br/noticias/santo-andre-e-sao-jose-vencem-neste-sabado-pela-quarta-semana-da-lbf-201415/
off the court 3;Sport/Uninassau/Inst. Todos;7;432;1;https://lbf.com.br/noticias/off-the-court-3/
lesionada pivo yuli cruz desfalca o basquete jaragua em dois jogos da liga de basquete feminino lbf 201415;Sport/Uninassau/Inst. Todos;4;435;2;https://lbf.com.br/noticias/lesionada-pivo-yuli-cruz-desfalca-o-basquete-jaragua-em-dois-jogos-da-liga-de-basquete-feminino-lbf-201415/
